"index","Most Disadvantaged","Disadvantaged","Middle SES","Advantaged","Most Advantaged","NA"
"1A","237","297","454","763","1,315","134"
"2A","721","752","887","882","711","160"
"2B","17","11","7","1","","1"
"3A","19","49","45","31","8","7"
"3B","148","156","86","12","1","6"
"3C","178","130","74","26","2","17"
"3D","32","25","20","8","","1"
"4A","36","98","143","138","65","14"
"4B","104","142","114","132","76","21"
"4C","176","110","69","51","6","17"
"4D","145","198","180","152","73","47"
"4E","21","31","18","9","5","2"
"5C","186","89","41","8","3","7"
"5D","18","29","27","2","","3"
"5E","166","142","126","79","34","34"
